2026-04-07 23:53:02,259 | INFO | Found 438 PDFs in central /home/darwin/PRES/Executive/data/raw
2026-04-07 23:53:02,322 | INFO | Processed 50 documents...
2026-04-07 23:53:02,368 | INFO | Processed 100 documents...
2026-04-07 23:53:02,424 | INFO | Processed 150 documents...
2026-04-07 23:53:02,466 | INFO | Processed 200 documents...
2026-04-07 23:53:02,508 | INFO | Processed 250 documents...
2026-04-07 23:53:02,552 | INFO | Processed 300 documents...
2026-04-07 23:53:02,575 | INFO | Processed 350 documents...
2026-04-07 23:53:02,596 | INFO | Processed 400 documents...
2026-04-07 23:53:02,642 | INFO | ✅ Tagging completed!
2026-04-07 23:53:02,642 | INFO |    Documents processed : 438
2026-04-07 23:53:02,642 | INFO |    Skipped : 0
2026-04-07 23:53:02,643 | INFO |    Output → /home/darwin/PRES/Executive/central_inventory.csv
2026-04-07 23:53:02,643 | INFO |    Next: Proceed to chunk_documents.py
