filename,status,num_records,total_chars,thin_chunks,table_ratio,file_bytes,issues,preview
2022-MER-KENYA-Survey.json,EMPTY,0,0,85,0.00,7119369,Has 85 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Manual-KNEC-Debarment.json,EMPTY,0,0,15,0.00,752515,Has 15 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Masterplan-Ministry-of-ICT-Kenya-Digital.json,EMPTY,0,0,82,0.00,4835692,Has 82 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-POST-ELECTION-ECONOMIC-AND-FISCAL-REPORT.json,EMPTY,0,0,12,0.00,1541022,Has 12 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Policy-Ministry-of-Agriculture-KASEP.json,EMPTY,0,0,27,0.00,1376259,Has 27 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Policy-publicofficerethicsact-chapter-18_3.json,EMPTY,0,0,34,0.00,3939582,Has 34 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Regulatory-Impact-Assessment-Ministry-of-Agriculture.json,EMPTY,0,0,65,0.00,3704292,Has 65 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Strategic-Plan-KNEC-Final2.json,EMPTY,0,0,34,0.00,2743680,Has 34 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Tax-Expenditure-Report.json,EMPTY,0,0,13,0.00,1043996,Has 13 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-2024-Audit-Report.json,EMPTY,0,0,62,0.00,3218484,Has 62 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-2024-KETRACO-Audit-Report.json,EMPTY,0,0,100,0.00,6046858,Has 100 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-AFA-Bulletin.json,EMPTY,0,0,24,0.00,1475610,Has 24 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-Consolidated-Summary-Report-NCCE.json,EMPTY,0,0,17,0.00,650371,Has 17 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-KENGEN-BESS-Project.json,EMPTY,0,0,17,0.00,969253,Has 17 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-KNEC-2024.json,EMPTY,0,0,67,0.00,5757862,Has 67 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-KNEC-Strategic-Plan.json,EMPTY,0,0,48,0.00,5154274,Has 48 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-KPLC-Performance.json,EMPTY,0,0,3,0.00,6516,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-KPLC-Summary.json,EMPTY,0,0,3,0.00,186667,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-KPLC-Survey.json,EMPTY,0,0,3,0.00,160491,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-Konza-Technopolis-Strategic-Plan.json,EMPTY,0,0,17,0.00,1007611,Has 17 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-NCG-Newsletter.json,EMPTY,0,0,1,0.00,516009,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Annual-Report-Of-Activities-and-Financial-Statements-for-the-Fiscal-Year-2023-2024-Final-Report.json,EMPTY,0,0,139,0.00,8638732,Has 139 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
