agent,original_filename,filepath,size_kb,flags
Agriculture,Draft-National-Agriculture-Research-System-Policy-2021-May-25-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Draft-National-Agriculture-Research-System-Policy-2021-May-25-2021.pdf,816.2,
Agriculture,Field-Guide-1-Water-Management-for-Resilient-Livelihoods-in-Arid-Zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-1-Water-Management-for-Resilient-Livelihoods-in-Arid-Zones.pdf,18364.3,
Agriculture,Field-Guide-2-Water-Harvesting-for-Resilient-Livelihoods-in-Semi-Arid-Zones_reduce.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-2-Water-Harvesting-for-Resilient-Livelihoods-in-Semi-Arid-Zones_reduce.pdf,10682.6,
Agriculture,Field-Guide-3-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-3-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,11959.0,
Agriculture,Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,4911.2,
Agriculture,Food Crops Research Institute_ Annual Report 2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Food Crops Research Institute_ Annual Report 2024.pdf,5254.6,HAS_SPACES
Agriculture,GeRRI Annual Report 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/GeRRI Annual Report 2022-2023.pdf,1430.3,HAS_SPACES
Agriculture,Grain and Feed Annual_Nairobi_Kenya_3-15-2016.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Grain and Feed Annual_Nairobi_Kenya_3-15-2016.pdf,266.1,HAS_SPACES
Agriculture,HRI Annual Report 2022 2023 Final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/HRI Annual Report 2022 2023 Final.pdf,2389.3,HAS_SPACES
Agriculture,IN-SITU_WATER_HARVESTING_TECHNOLOGIES_AND_FERTILIZ-1-2.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/IN-SITU_WATER_HARVESTING_TECHNOLOGIES_AND_FERTILIZ-1-2.pdf,240.4,ALL_CAPS
Agriculture,KALRO - AMRI Katumani Annual Report - FY 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO - AMRI Katumani Annual Report - FY 2022-2023.pdf,1493.7,HAS_SPACES
Agriculture,KALRO ABIRI_ANNUAL REPORT_2022-2023 .pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO ABIRI_ANNUAL REPORT_2022-2023 .pdf,741.3,ALL_CAPS|HAS_SPACES
Agriculture,KALRO ICRI Annual Report 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO ICRI Annual Report 2022-2023.pdf,2875.5,HAS_SPACES
Agriculture,KALRO NRI 2022-2023 Annual Report.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO NRI 2022-2023 Annual Report.pdf,3691.8,HAS_SPACES
